,Unnamed: 0,product_id,brand,gender,category,master_category,su_cCategory,article_type,mrp,price,discount,discount_type,discount_display_label,coupon_discount,best_price,rating,rating_count,listViews,inventory,available,sizes,has_multiple_sizes,snapshot_date,season,is_fast_fashion,promotion_tags,has_promotion,year,preferred_delivery_tag,delivery_promise,source_sort
1442,,37466426,Trendyol,Women,Dresses,Apparel,Dress,Dresses,5599,2799,2800,1.0,(50% OFF),500.0,2299.0,0.0,0,0,228,True,"S,M,L,XL",True,2026-01-10,Winter,False,Myntra_Unique,True,2025,,,recommended
1444,,35484740,Trend Arrest,Women,Dresses,Apparel,Dress,Dresses,2499,1999,500,1.0,(20% OFF),500.0,1499.0,4.0,55,0,13,True,"S,M,L,XL",True,2026-01-10,Summer,True,,False,2025,EXPRESS,Delivery By Jan 13,recommended
1445,,38968532,StyleCast,Women,Dresses,Apparel,Dress,Dresses,3999,3999,0,,,500.0,3499.0,0.0,0,0,200,True,"XS,S,M,L,XL",True,2026-01-10,Winter,False,,False,2025,,,recommended
1446,,19390996,Globus,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,2999,1356,1643,1.0,(55% OFF),407.0,949.0,4.4453125,256,0,34,True,"XS,S,M,L,XL",True,2026-01-10,Winter,False,,False,2022,EXPRESS,Delivery By Jan 13,recommended
1447,,37530816,MANGO,Women,Dresses,Apparel,Dress,Dresses,8390,6292,2098,1.0,(25% OFF),500.0,5792.0,0.0,0,0,8,True,"S,M,L",True,2026-01-10,Fall,False,Myntra_Unique,True,2025,EXPRESS,Delivery By Jan 12,recommended
1448,,20689912,FableStreet,Women,Dresses,Apparel,Dress,Dresses,3995,2197,1798,1.0,(45% OFF),500.0,1697.0,4.10795450210571,176,0,34,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Winter,True,Crazy_Deal|Festive_Price_Crash,True,2022,EXPRESS,Delivery By Jan 11,recommended
1449,,37934137,DressBerry,Women,Dresses,Apparel,Dress,Dresses,1999,559,1440,1.0,(72% OFF),168.0,391.0,0.0,0,0,22,True,"XS,S,M,L,XL",True,2026-01-10,Winter,False,,False,2025,EXPRESS,Delivery By Jan 12,recommended
1452,,29557848,JC Collection,Women,Dresses,Apparel,Dress,Dresses,5999,3299,2700,1.0,(45% OFF),500.0,2799.0,3.70000004768372,10,0,52,True,"M,L,XL,XXL,3XL",True,2026-01-10,Fall,True,Crazy_Deal|Festive_Price_Crash|Myntra_Unique,True,2024,EXPRESS,Delivery By Jan 12,recommended
1453,,39040923,DressBerry,Women,Dresses,Apparel,Dress,Dresses,3999,1999,2000,1.0,(50% OFF),500.0,1499.0,0.0,0,0,100,True,"S,M,L,XL",True,2026-01-10,Summer,False,,False,2025,,,recommended
1454,,33712043,ELYRAA,Women,Dresses,Apparel,Dress,Dresses,2499,1697,802,1.0,(32% OFF),500.0,1197.0,4.06603765487671,530,0,10,True,"XS,S,M,L,XL",True,2026-01-10,Summer,True,GST_Benefit_Included|Festive_Price_Crash,True,2025,,,recommended
1455,,36655739,H&M,Women,Dresses,Apparel,Dress,Dresses,2599,1819,780,1.0,(30% OFF),500.0,1319.0,4.5,6,0,22,True,"XXS,XS,S,M,L,XL",True,2026-01-10,Winter,True,,False,2025,EXPRESS,Delivery By Jan 11,recommended
1456,,37363126,Bershka,Women,Dresses,Apparel,Dress,Dresses,2950,1770,1180,1.0,(Rs. 1180 OFF),,,4.66666650772095,9,0,19,True,"XS,S,M,L,XL",True,2026-01-10,Winter,True,,False,2025,EXPRESS,Delivery By Jan 12,recommended
1457,,39204485,OH MI DIOS,Women,Dresses,Apparel,Dress,Dresses,1999,589,1410,1.0,(71% OFF),177.0,412.0,0.0,0,0,7,True,"S,M,L,XL,XXL",True,2026-01-10,Spring,False,,False,2026,EXPRESS,Delivery By Jan 13,recommended
1458,,37466413,Trendyol,Women,Dresses,Apparel,Dress,Dresses,4799,2399,2400,1.0,(50% OFF),500.0,1899.0,0.0,0,0,19,True,"XS,S,M,L,XL",True,2026-01-10,Winter,False,Myntra_Unique,True,2025,EXPRESS,Delivery By Jan 12,recommended
