,product_id,brand,gender,category,master_category,sub_category,article_type,mrp,price,discount,discount_type,discount_display_label,coupon_discount,best_price,rating,rating_count,list_views,inventory,available,sizes,has_multiple_sizes,snapshot_date,season,is_fast_fashion,promotion_tags,has_promotion,year,preferred_delivery_tag,delivery_promise,source_sort
4792,34231616,CORSICA,Women,Dresses,Apparel,Dress,Dresses,3650,397,3253,1.0,(89% OFF),139.0,258.0,0.0,0,0,5,True,"XS,S,M,L,XL,XXL",True,2026-01-14,Summer,False,Crazy_Deal|Festive_Price_Crash,True,2025,,,discount
4793,30191644,Selvia,Women,Dresses,Apparel,Dress,Dresses,2565,279,2286,1.0,(89% OFF),98.0,181.0,4.37209320068359,43,0,9,True,"S,M,L,XL",True,2026-01-14,Fall,True,Festive_Price_Crash|Crazy_Deal,True,2024,,,discount
4794,31204647,Routes by All About You,Women,Dresses,Apparel,Dress,Dresses,5499,599,4900,1.0,(89% OFF),210.0,389.0,0.0,0,0,1,True,"S,M,L,XL",True,2026-01-14,Summer,False,Crazy_Deal|Festive_Price_Crash,True,2025,EXPRESS,Delivery By Jan 15,discount
4795,25091472,BAESD,Women,Dresses,Apparel,Dress,Dresses,6495,708,5787,1.0,(89% OFF),248.0,460.0,4.0,32,0,1,True,"S,M,L,XL,XXL",True,2026-01-14,Summer,True,Myntra_Unique,True,2023,EXPRESS,Delivery By Jan 16,discount
4796,19293562,DEEBACO,Women,Dresses,Apparel,Dress,Dresses,3780,413,3367,1.0,(89% OFF),145.0,268.0,4.10242605209351,371,0,1,True,"XS,S,M,L,XL,XXL",True,2026-01-14,Summer,True,,False,2022,EXPRESS,Delivery By Jan 17,discount
4797,39002030,THREAD BOX,Women,Dresses,Apparel,Dress,Dresses,3248,355,2893,1.0,(Rs. 2893 OFF),107.0,248.0,0.0,0,0,17,True,"XS,S,M,L,XL,XXL",True,2026-01-14,Winter,False,,False,2025,,,discount
4798,20886468,RAJGRANTH,Women,Dresses,Apparel,Dress,Dresses,4999,547,4452,1.0,(89% OFF),192.0,355.0,3.94827580451965,58,0,22,True,"S,M,L,XL,XXL",True,2026-01-14,Fall,True,,False,2022,,,discount
4799,20886464,RAJGRANTH,Women,Dresses,Apparel,Dress,Dresses,4999,547,4452,1.0,(89% OFF),192.0,355.0,3.94827580451965,58,0,11,True,"S,M,L,XL,XXL",True,2026-01-14,Fall,True,Crazy_Deal|Festive_Price_Crash,True,2022,,,discount
4800,20886458,RAJGRANTH,Women,Dresses,Apparel,Dress,Dresses,4999,547,4452,1.0,(89% OFF),192.0,355.0,3.94827580451965,58,0,14,True,"S,M,L,XL,XXL",True,2026-01-14,Fall,True,,False,2022,,,discount
4801,28679392,Ruhaans,Women,Dresses,Apparel,Dress,Dresses,1799,197,1602,1.0,(Rs. 1602 OFF),69.0,128.0,3.58333325386047,12,0,3,True,"S,M,L,XL,XXL",True,2026-01-14,Summer,True,,False,2024,EXPRESS,Delivery By Jan 15,discount
