Unnamed: 0,product_id,brand,gender,category,master_category,su_cCategory,article_type,mrp,price,discount,discount_type,discount_display_label,coupon_discount,best_price,rating,rating_count,listViews,inventory,available,sizes,has_multiple_sizes,snapshot_date,season,is_fast_fashion,promotion_tags,has_promotion,year,preferred_delivery_tag,delivery_promise
,26705838,DRESOUL,Women,Dresses,Apparel,Dress,Dresses,9995,1099,8896,1,(89% OFF),350,749,0.0,0,0,16,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Spring,False,,False,2024,,
,16575678,Athena,Women,Dresses,Apparel,Dress,Dresses,2499,274,2225,1,(89% OFF),137,137,3.5,22,0,2,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Summer,True,Myntra_Unique,True,2022,EXPRESS,Delivery By Jan 12
,17615094,FLAMBOYANT,Women,Dresses,Apparel,Dress,Dresses,1699,186,1513,1,(89% OFF),93,93,3.5,6,0,2,True,"S,M,L,XL",True,2026-01-10,Summer,True,,False,2022,,
,16575692,Athena,Women,Dresses,Apparel,Dress,Dresses,2799,307,2492,1,(89% OFF),150,157,4.5714287757873535,14,0,4,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Summer,True,Myntra_Unique,True,2022,EXPRESS,Delivery By Jan 12
,16575656,Athena,Women,Dresses,Apparel,Dress,Dresses,2799,307,2492,1,(89% OFF),150,157,4.400000095367432,10,0,5,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Summer,True,Myntra_Unique,True,2022,EXPRESS,Delivery By Jan 12
,31654566,Chandbaali,Women,Dresses,Apparel,Dress,Dresses,4999,549,4450,1,(89% OFF),193,356,0.0,0,0,20,True,"S,M,L,XL,XXL",True,2026-01-10,Summer,False,,False,2025,,
,31654562,Chandbaali,Women,Dresses,Apparel,Dress,Dresses,5999,659,5340,1,(89% OFF),231,428,0.0,0,0,1,True,"S,M,L,XL,XXL",True,2026-01-10,Summer,False,,False,2025,,
,31654557,Chandbaali,Women,Dresses,Apparel,Dress,Dresses,5999,659,5340,1,(89% OFF),231,428,0.0,0,0,3,True,"S,M,L,XL,XXL",True,2026-01-10,Summer,False,,False,2025,,
,29204674,Tokyo Talkies,Women,Dresses,Apparel,Dress,Dresses,1999,219,1780,1,(89% OFF),110,109,3.875,16,0,134,True,"XS,S,M,L,XL",True,2026-01-10,Summer,True,,False,2024,,
,28609980,Chandbaali,Women,Dresses,Apparel,Dress,Dresses,10999,1209,9790,1,(89% OFF),363,846,0.0,0,0,18,True,"S,M,L",True,2026-01-10,Summer,False,,False,2024,,
,28093452,Chandbaali,Women,Dresses,Apparel,Dress,Dresses,5999,659,5340,1,(89% OFF),231,428,0.0,0,0,14,True,"S,M,L,XL,XXL",True,2026-01-10,Summer,False,,False,2024,,
,28065854,DRESOUL,Women,Dresses,Apparel,Dress,Dresses,6845,752,6093,1,(89% OFF),264,488,0.0,0,0,32,True,"XS,S,M,L,XL",True,2026-01-10,Summer,False,,False,2024,,
,26523806,LULU & SKY,Women,Dresses,Apparel,Dress,Dresses,6399,703,5696,1,(89% OFF),247,456,3.954545497894287,22,0,26,True,"S,M,L,XL",True,2026-01-10,Fall,True,Festive_Price_Crash|Crazy_Deal,True,2023,EXPRESS,Delivery By Jan 12
,26523728,LULU & SKY,Women,Dresses,Apparel,Dress,Dresses,6099,670,5429,1,(89% OFF),235,435,0.0,0,0,98,True,L,False,2026-01-10,Fall,False,,False,2023,EXPRESS,Delivery By Jan 12
,26523504,LULU & SKY,Women,Dresses,Apparel,Dress,Dresses,5899,648,5251,1,(89% OFF),227,421,3.8333332538604736,6,0,20,True,L,False,2026-01-10,Fall,True,,False,2023,EXPRESS,Delivery By Jan 12
,26523276,LULU & SKY,Women,Dresses,Apparel,Dress,Dresses,5899,648,5251,1,(89% OFF),227,421,0.0,0,0,3,True,"L,XL",True,2026-01-10,Fall,False,,False,2023,EXPRESS,Delivery By Jan 12
,27929908,Purple State,Women,Dresses,Apparel,Dress,Dresses,5999,660,5339,1,(89% OFF),231,429,0.0,0,0,5,True,"S,M,L",True,2026-01-10,Summer,False,,False,2024,,
,34231616,CORSICA,Women,Dresses,Apparel,Dress,Dresses,3650,397,3253,1,(89% OFF),150,247,0.0,0,0,5,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Summer,False,Crazy_Deal|Festive_Price_Crash,True,2025,,
,30191644,Selvia,Women,Dresses,Apparel,Dress,Dresses,2565,279,2286,1,(89% OFF),140,139,4.372093200683594,43,0,13,True,"S,M,L,XL",True,2026-01-10,Fall,True,Festive_Price_Crash|Crazy_Deal,True,2024,,
,31204647,Routes by All About You,Women,Dresses,Apparel,Dress,Dresses,5499,599,4900,1,(89% OFF),210,389,0.0,0,0,1,True,"S,M,L,XL",True,2026-01-10,Summer,False,Crazy_Deal|Festive_Price_Crash,True,2025,EXPRESS,Delivery By Jan 13
,25091472,BAESD,Women,Dresses,Apparel,Dress,Dresses,6495,708,5787,1,(89% OFF),248,460,4.0,32,0,1,True,"S,M,L,XL,XXL",True,2026-01-10,Summer,True,Myntra_Unique,True,2023,EXPRESS,Delivery By Jan 13
,19293562,DEEBACO,Women,Dresses,Apparel,Dress,Dresses,3780,413,3367,1,(89% OFF),150,263,4.102426052093506,371,0,1,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Summer,True,,False,2022,,
,39002030,THREAD BOX,Women,Dresses,Apparel,Dress,Dresses,3248,355,2893,1,(Rs. 2893 OFF),150,205,0.0,0,0,17,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Winter,False,,False,2025,,
,20886464,RAJGRANTH,Women,Dresses,Apparel,Dress,Dresses,4999,547,4452,1,(89% OFF),192,355,3.948275804519653,58,0,11,True,"S,M,L,XL,XXL",True,2026-01-10,Fall,True,Crazy_Deal|Festive_Price_Crash,True,2022,,
,20886468,RAJGRANTH,Women,Dresses,Apparel,Dress,Dresses,4999,547,4452,1,(89% OFF),192,355,3.948275804519653,58,0,16,True,"S,M,L,XL,XXL",True,2026-01-10,Fall,True,,False,2022,,
,20886462,RAJGRANTH,Women,Dresses,Apparel,Dress,Dresses,4999,547,4452,1,(89% OFF),192,355,3.948275804519653,58,0,1,True,"S,M,L,XL,XXL",True,2026-01-10,Fall,True,,False,2022,,
,20886458,RAJGRANTH,Women,Dresses,Apparel,Dress,Dresses,4999,547,4452,1,(89% OFF),192,355,3.948275804519653,58,0,14,True,"S,M,L,XL,XXL",True,2026-01-10,Fall,True,,False,2022,,
,28679392,Ruhaans,Women,Dresses,Apparel,Dress,Dresses,1799,197,1602,1,(Rs. 1602 OFF),99,98,3.5833332538604736,12,0,5,True,"S,M,L,XL,XXL",True,2026-01-10,Summer,True,,False,2024,EXPRESS,Delivery By Jan 13
,27846662,BAESD,Women,Dresses,Apparel,Dress,Dresses,4099,449,3650,1,(89% OFF),158,291,3.692307710647583,13,0,22,True,"S,M,L,XL,XXL",True,2026-01-10,Summer,True,Myntra_Unique,True,2024,,
,27846666,BAESD,Women,Dresses,Apparel,Dress,Dresses,4099,449,3650,1,(89% OFF),158,291,3.444444417953491,9,0,19,True,"S,M,L,XL,XXL",True,2026-01-10,Summer,True,Myntra_Unique,True,2024,,
,27378934,KALINI,Women,Dresses,Apparel,Dress,Dresses,4555,499,4056,1,(89% OFF),175,324,4.222222328186035,9,0,3,True,"XS,S,M,L,XL,XXL,3XL",True,2026-01-10,Winter,True,Crazy_Deal|Festive_Price_Crash|Myntra_Unique,True,2024,,
,35676455,Attire Empire,Women,Dresses,Apparel,Dress,Dresses,1999,219,1780,1,(Rs. 1780 OFF),110,109,4.199999809265137,65,0,1,True,"S,M,L,XL",True,2026-01-10,Summer,True,Crazy_Deal|Festive_Price_Crash,True,2025,,
,23958600,plusS,Women,Dresses,Apparel,Dress,Dresses,1999,219,1780,1,(Rs. 1780 OFF),110,109,3.8905110359191895,137,0,16,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,,False,2023,EXPRESS,Delivery By Jan 11
,23958608,plusS,Women,Dresses,Apparel,Dress,Dresses,1999,219,1780,1,(Rs. 1780 OFF),110,109,3.891304254531861,138,0,8,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,Crazy_Deal|Festive_Price_Crash,True,2023,EXPRESS,Delivery By Jan 11
,18110606,plusS,Women,Dresses,Apparel,Dress,Dresses,1999,219,1780,1,(Rs. 1780 OFF),110,109,3.60606050491333,66,0,1,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,,False,2022,EXPRESS,Delivery By Jan 11
,13526308,plusS,Women,Dresses,Apparel,Dress,Dresses,2199,241,1958,1,(Rs. 1958 OFF),121,120,4.137930870056152,87,0,5,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,Crazy_Deal|Festive_Price_Crash,True,2021,EXPRESS,Delivery By Jan 11
,22511426,plusS,Women,Dresses,Apparel,Dress,Dresses,2199,241,1958,1,(Rs. 1958 OFF),121,120,4.320754528045654,530,0,2,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,,False,2023,EXPRESS,Delivery By Jan 11
,24382852,plusS,Women,Dresses,Apparel,Dress,Dresses,2299,252,2047,1,(Rs. 2047 OFF),126,126,4.112512111663818,1031,0,10,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Winter,True,Festive_Price_Crash,True,2023,EXPRESS,Delivery By Jan 11
,16649884,plusS,Women,Dresses,Apparel,Dress,Dresses,2299,252,2047,1,(Rs. 2047 OFF),126,126,4.035714149475098,140,0,11,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,,False,2022,EXPRESS,Delivery By Jan 11
,22511440,plusS,Women,Dresses,Apparel,Dress,Dresses,2399,263,2136,1,(Rs. 2136 OFF),132,131,3.9473683834075928,152,0,14,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,,False,2023,EXPRESS,Delivery By Jan 11
,37247490,Attire Empire,Women,Dresses,Apparel,Dress,Dresses,2499,274,2225,1,(Rs. 2225 OFF),137,137,4.329999923706055,500,0,1,True,"S,M,L,XL",True,2026-01-10,Summer,True,,False,2025,,
,32556793,Attire Empire,Women,Dresses,Apparel,Dress,Dresses,2499,274,2225,1,(Rs. 2225 OFF),137,137,4.326000213623047,500,0,1,True,"XS,S,M,L,XL",True,2026-01-10,Summer,True,,False,2024,,
,32556786,Attire Empire,Women,Dresses,Apparel,Dress,Dresses,2499,274,2225,1,(Rs. 2225 OFF),137,137,4.323232173919678,495,0,3,True,"XS,S,M,L,XL",True,2026-01-10,Summer,True,,False,2024,,
,28342588,plusS,Women,Dresses,Apparel,Dress,Dresses,2499,274,2225,1,(Rs. 2225 OFF),137,137,4.270833492279053,48,0,5,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,,False,2024,EXPRESS,Delivery By Jan 11
,28342664,plusS,Women,Dresses,Apparel,Dress,Dresses,2499,274,2225,1,(Rs. 2225 OFF),137,137,4.270833492279053,48,0,3,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,Festive_Price_Crash|Crazy_Deal,True,2024,EXPRESS,Delivery By Jan 11
,18738888,plusS,Women,Dresses,Apparel,Dress,Dresses,2499,274,2225,1,(Rs. 2225 OFF),137,137,3.784482717514038,116,0,3,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,,False,2022,EXPRESS,Delivery By Jan 11
,27769430,plusS,Women,Dresses,Apparel,Dress,Dresses,2499,274,2225,1,(Rs. 2225 OFF),137,137,4.1875,128,0,24,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,Crazy_Deal|Festive_Price_Crash,True,2024,EXPRESS,Delivery By Jan 11
,31611522,plusS,Women,Dresses,Apparel,Dress,Dresses,2599,285,2314,1,(Rs. 2314 OFF),143,142,4.026051044464111,2188,0,3,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,Crazy_Deal|Festive_Price_Crash,True,2024,EXPRESS,Delivery By Jan 11
,20158544,plusS,Women,Dresses,Apparel,Dress,Dresses,2699,296,2403,1,(Rs. 2403 OFF),148,148,4.113333225250244,300,0,36,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,Festive_Price_Crash|Crazy_Deal,True,2022,EXPRESS,Delivery By Jan 11
,24332994,plusS,Women,Dresses,Apparel,Dress,Dresses,2699,296,2403,1,(Rs. 2403 OFF),148,148,4.303797245025635,79,0,3,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Winter,True,,False,2023,EXPRESS,Delivery By Jan 11
,19610762,plusS,Women,Dresses,Apparel,Dress,Dresses,2699,296,2403,1,(Rs. 2403 OFF),148,148,4.166666507720947,60,0,3,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,,False,2022,EXPRESS,Delivery By Jan 11
,28342604,plusS,Women,Dresses,Apparel,Dress,Dresses,2799,307,2492,1,(Rs. 2492 OFF),150,157,4.189188957214356,37,0,12,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,,False,2024,EXPRESS,Delivery By Jan 11
,28342600,plusS,Women,Dresses,Apparel,Dress,Dresses,2799,307,2492,1,(Rs. 2492 OFF),150,157,4.157894611358643,38,0,5,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,Festive_Price_Crash|Crazy_Deal,True,2024,EXPRESS,Delivery By Jan 11
,28342608,plusS,Women,Dresses,Apparel,Dress,Dresses,2799,307,2492,1,(Rs. 2492 OFF),150,157,4.333333492279053,33,0,3,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,,False,2024,EXPRESS,Delivery By Jan 11
,17132962,plusS,Women,Dresses,Apparel,Dress,Dresses,2799,307,2492,1,(Rs. 2492 OFF),150,157,3.9170854091644287,398,0,10,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,,False,2022,EXPRESS,Delivery By Jan 11
