,product_id,brand,gender,category,master_category,su_cCategory,article_type,mrp,price,discount,discount_type,discount_display_label,coupon_discount,best_price,rating,rating_count,listViews,inventory,available,sizes,has_multiple_sizes,snapshot_date,season,is_fast_fashion,promotion_tags,has_promotion,year,preferred_delivery_tag,delivery_promise,source_sort
7961,27531630,STREET 9,Women,Dresses,Apparel,Dress,Dresses,2999,719,2280,1.0,(76% OFF),252.0,467.0,0.0,0,0,10,True,"XS,S,M,L,XL",True,2026-01-14,Summer,False,Crazy_Deal|Festive_Price_Crash,True,2024,EXPRESS,Delivery By Jan 15,recommended
7962,34298662,H&M,Women,Dresses,Apparel,Dress,Dresses,1199,1199,0,1.0,,360.0,839.0,4.22950839996338,183,0,3,True,"XXS,XS,S,M,L,XL",True,2026-01-14,Summer,True,Crazy_Deal|Festive_Price_Crash,True,2025,EXPRESS,Delivery By Jan 15,recommended
7963,30585538,Stylecast X Slyck,Women,Dresses,Apparel,Dress,Dresses,1699,475,1224,1.0,(72% OFF),167.0,308.0,3.85679006576538,405,0,19,True,"XS,S,M,L",True,2026-01-14,Summer,True,Crazy_Deal|Festive_Price_Crash|Myntra_Unique,True,2024,EXPRESS,Delivery By Jan 15,recommended
7964,23852992,A PLUS BY AHALYAA,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,6800,1493,5307,1.0,(Rs. 5307 OFF),448.0,1045.0,4.08433723449707,747,0,1,True,"3XL,4XL,5XL,6XL,7XL",True,2026-01-14,Fall,False,Festive_Price_Crash|GST_Benefit_Included,True,2023,,,recommended
7965,25087146,Berrylush BASICS,Women,Dresses,Apparel,Dress,Dresses,1499,464,1035,1.0,(69% OFF),163.0,301.0,4.52941179275513,51,0,22,True,"XS,S,M,L,XL",True,2026-01-14,Summer,True,Festive_Price_Crash|Crazy_Deal,True,2025,EXPRESS,Delivery By Jan 15,recommended
7966,30009451,Berrylush Curve,Women,Dresses,Apparel,Dress,Dresses,2799,1203,1596,1.0,(57% OFF),361.0,842.0,4.21074390411377,242,0,14,True,"XXL,3XL,4XL,5XL,6XL,7XL",True,2026-01-14,Summer,True,Crazy_Deal|Festive_Price_Crash,True,2025,EXPRESS,Delivery By Jan 15,recommended
7967,38334655,Inddus,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,4199,1500,2699,1.0,(64% OFF),450.0,1050.0,3.375,8,0,4,True,"XS,S,M,L,XL",True,2026-01-14,Winter,False,Myntra_Unique,True,2025,,,recommended
7968,26547696,Tokyo Talkies,Women,Dresses,Apparel,Dress,Dresses,1849,499,1350,1.0,(73% OFF),175.0,324.0,4.14639186859131,485,0,122,True,"XS,S,M,L,XL",True,2026-01-14,Summer,True,Crazy_Deal|Festive_Price_Crash,True,2025,EXPRESS,Delivery By Jan 17,recommended
7969,9322605,Biba,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,3599,3383,216,1.0,(6% OFF),500.0,2883.0,4.33642673492432,431,0,3,True,"S,M,L,XL",True,2026-01-14,Summer,False,Crazy_Deal|Festive_Price_Crash|GST_Benefit_Included,True,2019,EXPRESS,Delivery By Jan 17,recommended
7970,32739323,Pink Fort,Women,Dresses,Apparel,Dress,Dresses,2995,1198,1797,1.0,(60% OFF),360.0,838.0,2.66666674613953,9,0,13,True,"XS,S,M,L,XL,XXL",True,2026-01-14,Spring,True,GST_Benefit_Included|Festive_Price_Crash,True,2025,EXPRESS,Delivery By Jan 15,recommended
7971,28576326,StyleCast,Women,Dresses,Apparel,Dress,Dresses,2999,1079,1920,1.0,(64% OFF),350.0,729.0,4.03333330154419,270,0,358,True,"S,M,L,XL",True,2026-01-14,Summer,True,GST_Benefit_Included|Crazy_Deal|Festive_Price_Crash|Myntra_Unique,True,2024,EXPRESS,Delivery By Jan 15,recommended
7972,29718040,Nayo,Women,Dresses,Apparel,Dress,Dresses,2499,827,1672,1.0,(67% OFF),249.0,578.0,4.09164714813232,1724,0,6,True,"S,M,L,XL,XXL",True,2026-01-14,Summer,True,Crazy_Deal|Festive_Price_Crash,True,2024,EXPRESS,Delivery By Jan 15,recommended
7973,31889608,Boholyfe,Women,Dresses,Apparel,Dress,Dresses,1850,1257,593,1.0,(Rs. 593 OFF),378.0,879.0,4.15301084518433,1013,0,69,True,Onesize,False,2026-01-14,Spring,True,,False,2025,EXPRESS,Delivery By Jan 15,recommended
7974,20980266,CURVY STREET,Women,Dresses,Apparel,Dress,Dresses,3199,863,2336,1.0,(73% OFF),303.0,560.0,3.94444441795349,72,0,5,True,"XXL,3XL,4XL,5XL,6XL",True,2026-01-14,Winter,True,Crazy_Deal|Festive_Price_Crash,True,2023,EXPRESS,Delivery By Jan 15,recommended
7975,33103277,bebe,Women,Dresses,Apparel,Dress,Dresses,3499,1224,2275,1.0,(65% OFF),368.0,856.0,3.91803288459778,61,0,142,True,"S,M,L,XL,XXL",True,2026-01-14,Summer,True,Crazy_Deal|Festive_Price_Crash|GST_Benefit_Included,True,2025,EXPRESS,Delivery By Jan 15,recommended
7976,37601909,StyleCast,Women,Dresses,Apparel,Dress,Dresses,3499,1259,2240,1.0,(64% OFF),378.0,881.0,0.0,0,0,301,True,Onesize,False,2026-01-14,Winter,False,Myntra_Unique,True,2025,EXPRESS,Delivery By Jan 15,recommended
7977,18228072,Berrylush Curve,Women,Dresses,Apparel,Dress,Dresses,1998,599,1399,1.0,(70% OFF),210.0,389.0,4.09329462051392,343,0,19,True,"XXL,3XL,4XL,5XL",True,2026-01-14,Summer,True,Crazy_Deal|Festive_Price_Crash,True,2025,EXPRESS,Delivery By Jan 15,recommended
7978,33671108,CORSICA,Women,Dresses,Apparel,Dress,Dresses,2699,782,1917,1.0,(71% OFF),274.0,508.0,4.5,14,0,29,True,"S,M,L,XL,XXL",True,2026-01-14,Winter,True,Crazy_Deal|Festive_Price_Crash,True,2025,EXPRESS,Delivery By Jan 15,recommended
7979,30294562,Globus,Women,Dresses,Apparel,Dress,Dresses,1999,1019,980,1.0,(Rs. 980 OFF),350.0,669.0,4.17840385437012,213,0,13,True,"S,M,L,XL",True,2026-01-14,Winter,True,Crazy_Deal|Festive_Price_Crash|GST_Benefit_Included,True,2024,EXPRESS,Delivery By Jan 16,recommended
7980,33513506,SASSAFRAS,Women,Dresses,Apparel,Dress,Dresses,1999,899,1100,1.0,(55% OFF),315.0,584.0,4.54716968536377,106,0,9,True,"S,M,L,XL,XXL",True,2026-01-14,Summer,True,Crazy_Deal|Festive_Price_Crash,True,2025,EXPRESS,Delivery By Jan 15,recommended
7981,25019358,Henal,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,3999,844,3155,1.0,(79% OFF),296.0,548.0,4.12842464447022,1168,0,175,True,"M,L,XL,XXL,3XL,4XL,5XL",True,2026-01-14,Spring,False,,False,2023,EXPRESS,Delivery By Jan 17,recommended
7982,37820360,H&M,Women,Dresses,Apparel,Dress,Dresses,1499,1049,450,1.0,(30% OFF),350.0,699.0,4.42857122421265,14,0,42,True,"XXS,XS,S,M,L,XL",True,2026-01-14,Winter,True,,False,2025,EXPRESS,Delivery By Jan 15,recommended
7983,34720778,H&M,Women,Dresses,Apparel,Dress,Dresses,1399,979,420,1.0,(30% OFF),343.0,636.0,4.38095235824585,21,0,10,True,"XXS,XS,S,M,L,XL",True,2026-01-14,Winter,True,GST_Benefit_Included,True,2025,EXPRESS,Delivery By Jan 15,recommended
7984,30585562,Stylecast X Slyck,Women,Dresses,Apparel,Dress,Dresses,1699,509,1190,1.0,(70% OFF),179.0,330.0,3.8469135761261,405,0,13,True,"XS,S,M,L",True,2026-01-14,Summer,True,Myntra_Unique,True,2024,EXPRESS,Delivery By Jan 15,recommended
7985,31304195,SASSAFRAS,Women,Dresses,Apparel,Dress,Dresses,1999,739,1260,1.0,(63% OFF),259.0,480.0,4.35443258285523,5956,0,51,True,"XS,S,M,L,XL,XXL",True,2026-01-14,Winter,True,,False,2024,EXPRESS,Delivery By Jan 15,recommended
7986,37182533,Sangria,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,5279,1505,3774,1.0,(71% OFF),452.0,1053.0,3.625,8,0,41,True,"S,M,L,XL,XXL,3XL",True,2026-01-14,Winter,False,,False,2025,,,recommended
7987,34046749,ZestLeaf,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,1399,1399,0,,,420.0,979.0,4.45454549789429,22,0,492,True,"S,M,L,XL,XXL,3XL",True,2026-01-14,Summer,False,Festive_Price_Crash|GST_Benefit_Included,True,2025,,,recommended
7988,36985539,HERE&NOW,Women,Dresses,Apparel,Dress,Dresses,4099,1393,2706,1.0,(66% OFF),418.0,975.0,0.0,0,0,293,True,"S,M,L,XL,XXL",True,2026-01-14,Fall,False,,False,2025,,,recommended
7989,22929150,KETCH,Women,Dresses,Apparel,Dress,Dresses,1549,216,1333,1.0,(86% OFF),108.0,108.0,4.34999990463257,160,0,22,True,"XS,S,M,L,XL",True,2026-01-14,Summer,True,Crazy_Deal|Festive_Price_Crash,True,2023,,,recommended
7990,31457696,StyleCast x Revolte,Women,Dresses,Apparel,Dress,Dresses,3699,1220,2479,1.0,(67% OFF),366.0,854.0,3.66666674613953,21,0,3,True,"S,M,L",True,2026-01-14,Fall,True,Festive_Price_Crash|Crazy_Deal|GST_Benefit_Included|Myntra_Unique,True,2024,EXPRESS,Delivery By Jan 15,recommended
7991,24784094,Biba,Women,Dresses,Apparel,Dress,Dresses,3299,1319,1980,1.0,(60% OFF),396.0,923.0,4.14758253097534,393,0,27,True,"S,M,L,XL,XXL,3XL",True,2026-01-14,Winter,True,Crazy_Deal|Festive_Price_Crash,True,2023,EXPRESS,Delivery By Jan 15,recommended
7992,15956122,STREET 9 BASICS,Women,Dresses,Apparel,Dress,Dresses,2599,649,1950,1.0,(Rs. 1950 OFF),228.0,421.0,3.94368052482605,1527,0,32,True,"XS,S,M,L,XL,XXL",True,2026-01-14,Winter,True,Crazy_Deal|Festive_Price_Crash|Myntra_Unique,True,2021,EXPRESS,Delivery By Jan 14,recommended
7993,37548250,plusS,Women,Dresses,Apparel,Dress,Dresses,6699,736,5963,1.0,(Rs. 5963 OFF),258.0,478.0,4.55555534362793,9,0,6,True,"S,M,L,XL,XXL,3XL,4XL",True,2026-01-14,Summer,True,,False,2026,EXPRESS,Delivery By Jan 14,recommended
7994,25032908,BAESD,Women,Dresses,Apparel,Dress,Dresses,3099,1081,2018,1.0,(65% OFF),350.0,731.0,4.253333568573,75,0,12,True,"XS,S,M,L,XL,XXL",True,2026-01-14,Summer,True,Myntra_Unique,True,2023,EXPRESS,Delivery By Jan 15,recommended
7995,34540227,Claura,Women,Dresses,Apparel,Dress,Dresses,2939,764,2175,1.0,(74% OFF),230.0,534.0,4.25096321105957,1817,0,53,True,"S,M,L,XL,XXL",True,2026-01-14,Summer,True,Crazy_Deal|Festive_Price_Crash,True,2025,EXPRESS,Delivery By Jan 15,recommended
7996,30585600,Stylecast X Slyck,Women,Dresses,Apparel,Dress,Dresses,1499,479,1020,1.0,(68% OFF),168.0,311.0,3.9193549156189,186,0,17,True,"XS,S,M,L",True,2026-01-14,Summer,True,Crazy_Deal|Festive_Price_Crash|Myntra_Unique,True,2024,EXPRESS,Delivery By Jan 15,recommended
7997,32330271,Sangria,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,3799,721,3078,1.0,(81% OFF),253.0,468.0,4.25925922393799,54,0,11,True,"XS,S,M,L,XL,XXL",True,2026-01-14,Summer,False,Crazy_Deal|Festive_Price_Crash,True,2025,EXPRESS,Delivery By Jan 15,recommended
7998,34007441,Chemistry,Women,Dresses,Apparel,Dress,Dresses,2599,779,1820,1.0,(70% OFF),273.0,506.0,4.65217399597168,46,0,6,True,"XS,S,M,L,XL",True,2026-01-14,Winter,True,,False,2025,EXPRESS,Delivery By Jan 15,recommended
