product_id,brand,gender,category,master_category,su_cCategory,article_type,mrp,price,discount,discount_type,discount_display_label,coupon_discount,best_price,rating,rating_count,listViews,inventory,available,sizes,has_multiple_sizes,snapshot_date,season,is_fast_fashion,promotion_tags,has_promotion,year,preferred_delivery_tag,delivery_promise
31386499,StyleCast,Women,Dresses,Apparel,Dress,Dresses,3449,1517,1932,1,(56% OFF),456,1061,2.02325582504272,43,0,6,True,"S,M,L",True,2026-01-10,Summer,True,GST_Benefit_Included|Myntra_Unique,True,2024,EXPRESS,Delivery By Jan 12
37224276,bebe,Women,Dresses,Apparel,Dress,Dresses,8699,4001,4698,1,(54% OFF),500,3501,1.125,8,0,152,True,"S,M,L,XL,XXL,3XL",True,2026-01-10,Summer,True,,False,2026,EXPRESS,Delivery By Jan 12
36925834,Inddus,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,3999,1670,2329,1,(58% OFF),500,1170,4.66666650772095,6,0,2,True,"XS,S,M,L,XL",True,2026-01-10,Summer,False,Myntra_Unique,True,2025,,
38968415,StyleCast,Women,Dresses,Apparel,Dress,Dresses,3799,3799,0,,,500,3299,0,0,0,200,True,"XS,S,M,L,XL",True,2026-01-10,Winter,False,,False,2025,,
31759132,MANGO,Women,Dresses,Apparel,Dress,Dresses,4990,2495,2495,1,(50% OFF),500,1995,4.05128192901611,39,0,7,True,"XXS,XS,S,M,L,XL,XXL",True,2026-01-10,Spring,True,Myntra_Unique,True,2025,EXPRESS,Delivery By Jan 13
22806980,Marks & Spencer,Women,Dresses,Apparel,Dress,Dresses,2999,1649,1350,1,(45% OFF),495,1154,4.5,14,0,2,True,"XS,S,M,L,XL,XXL,3XL,4XL",True,2026-01-10,Summer,True,Festive_Price_Crash,True,2023,EXPRESS,Delivery By Jan 12
32926567,Trendyol,Women,Dresses,Apparel,Dress,Dresses,2999,1499,1500,1,(50% OFF),450,1049,4.05263137817383,19,0,105,True,"XL,XXL,3XL,4XL,5XL,6XL",True,2026-01-10,Summer,True,Crazy_Deal|Festive_Price_Crash|GST_Benefit_Included|Myntra_Unique,True,2025,EXPRESS,Delivery By Jan 12
39121109,NAMAHART,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,10000,7584,2416,1,(24% OFF),500,7084,0,0,0,222,True,"S,M,L",True,2026-01-10,Summer,False,,False,2025,,
32860044,ZUMMER,Women,Dresses,Apparel,Dress,Dresses,4699,1549,3150,1,(67% OFF),465,1084,4.4393458366394,2201,0,17478,True,"S,M,L,XL,XXL",True,2026-01-10,Summer,True,Crazy_Deal|Festive_Price_Crash|GST_Benefit_Included|Myntra_Unique,True,2025,,
36923520,HERE&NOW,Women,Dresses,Apparel,Dress,Dresses,4899,1763,3136,1,(64% OFF),500,1263,4,38,0,175,True,"S,M,L,XL,XXL",True,2026-01-10,Winter,True,,False,2025,EXPRESS,Delivery By Jan 12
34354537,MANGO,Women,Dresses,Apparel,Dress,Dresses,3790,1895,1895,1,(50% OFF),500,1395,4.57142877578735,28,0,204,True,"XS,S,M,L,XL",True,2026-01-10,Winter,True,Festive_Price_Crash|Crazy_Deal|GST_Benefit_Included|Myntra_Unique,True,2025,EXPRESS,Delivery By Jan 12
39213883,THE WHITE FEATHERS,Women,Dresses,Apparel,Dress,Dresses,2999,2999,0,,,500,2499,0,0,0,1,True,"L,XL,XXL",True,2026-01-10,Summer,False,,False,2025,,
32345562,Trendyol,Women,Dresses,Apparel,Dress,Dresses,4699,2349,2350,1,(50% OFF),500,1849,4.16666650772095,84,0,29,True,"XS,S,M,L,XL",True,2026-01-10,Spring,True,Festive_Price_Crash|Crazy_Deal|GST_Benefit_Included|Myntra_Unique,True,2025,EXPRESS,Delivery By Jan 12
32190535,Antheaa,Women,Dresses,Apparel,Dress,Dresses,2899,1478,1421,1,(49% OFF),444,1034,4.24152565002441,236,0,8,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Summer,True,Crazy_Deal|Festive_Price_Crash|GST_Benefit_Included,True,2025,EXPRESS,Delivery By Jan 12
35693585,NEXT,Women,Dresses,Apparel,Dress,Dresses,6599,2969,3630,1,(55% OFF),500,2469,4.16666650772095,6,0,10,True,"XXS,XS,S,M,L,XL,XXL",True,2026-01-10,Fall,True,Myntra_Unique,True,2025,EXPRESS,Delivery By Jan 12
38968391,StyleCast,Women,Dresses,Apparel,Dress,Dresses,3799,3799,0,,,500,3299,0,0,0,200,True,"XS,S,M,L,XL",True,2026-01-10,Winter,False,,False,2025,,
21136196,W,Women,Ethnic Dresses,Apparel,Dress,Ethnic Dresses,5999,2039,3960,1,(66% OFF),500,1539,3.98901104927063,273,0,16,True,"XS,S,M,M/L,L,XL,XXL",True,2026-01-10,Fall,False,Festive_Price_Crash|GST_Benefit_Included|Crazy_Deal,True,2022,EXPRESS,Delivery By Jan 12
32412740,Trendyol,Women,Dresses,Apparel,Dress,Dresses,3299,1649,1650,1,(50% OFF),495,1154,4.21818161010742,55,0,1210,True,"XS,S,M,L,XL",True,2026-01-10,Spring,True,Festive_Price_Crash|Crazy_Deal|Myntra_Unique,True,2025,EXPRESS,Delivery By Jan 12
27049170,Globus,Women,Dresses,Apparel,Dress,Dresses,2499,1499,1000,1,(Rs. 1000 OFF),450,1049,4.33333349227905,543,0,13,True,"S,M,L,XL",True,2026-01-10,Summer,True,Festive_Price_Crash|GST_Benefit_Included|Crazy_Deal,True,2024,EXPRESS,Delivery By Jan 13
39227904,GIPTIP,Women,Dresses,Apparel,Dress,Dresses,2999,2999,0,,,500,2499,0,0,0,100,True,"S,M,L,XL,XXL,3XL,4XL,5XL,6XL,7XL",True,2026-01-10,Fall,False,,False,2025,,
36679536,MANGO,Women,Dresses,Apparel,Dress,Dresses,5990,3294,2696,1,(45% OFF),500,2794,0,0,0,2,True,"XS,S,M",True,2026-01-10,Fall,False,Myntra_Unique,True,2025,EXPRESS,Delivery By Jan 12
22853178,SASSAFRAS worklyf,Women,Dresses,Apparel,Dress,Dresses,2399,839,1560,1,(Rs. 1560 OFF),294,545,4.34244155883789,4538,0,111,True,"XS,S,M,L,XL,XXL",True,2026-01-10,Summer,True,Festive_Price_Crash,True,2023,,
36776285,NEXT,Women,Dresses,Apparel,Dress,Dresses,5799,2899,2900,1,(50% OFF),500,2399,0,0,0,17,True,"XS,S,M,L,XL",True,2026-01-10,Fall,False,Myntra_Unique,True,2025,EXPRESS,Delivery By Jan 12
39022704,StyleCast,Women,Dresses,Apparel,Dress,Dresses,3899,3899,0,,,500,3399,0,0,0,200,True,"XS,S,M,L",True,2026-01-10,Winter,False,,False,2025,,
26559388,StyleCast,Women,Dresses,Apparel,Dress,Dresses,4499,1754,2745,1,(61% OFF),500,1254,4.09523820877075,21,0,1,True,"S,M,L",True,2026-01-10,Fall,True,Festive_Price_Crash|Crazy_Deal|Myntra_Unique,True,2023,,
37649870,H&M,Women,Dresses,Apparel,Dress,Dresses,1999,1999,0,1,,500,1499,0,0,0,91,True,"XS,S,M,L,XL",True,2026-01-10,Winter,False,,False,2025,EXPRESS,Delivery By Jan 11
35779278,MANGO,Women,Dresses,Apparel,Dress,Dresses,3790,1895,1895,1,(50% OFF),500,1395,3.86111116409302,36,0,26,True,"XS,S,M,L,XL",True,2026-01-10,Fall,True,Festive_Price_Crash|Crazy_Deal|GST_Benefit_Included|Myntra_Unique,True,2025,EXPRESS,Delivery By Jan 12
38968357,StyleCast,Women,Dresses,Apparel,Dress,Dresses,3649,3649,0,,,500,3149,0,0,0,200,True,"XS,S,M,L,XL",True,2026-01-10,Winter,False,,False,2025,,
36702666,Trendyol,Women,Dresses,Apparel,Dress,Dresses,3299,1649,1650,1,(50% OFF),495,1154,4.125,72,0,8,True,"M,L,XL",True,2026-01-10,Fall,True,Myntra_Unique,True,2025,,
37656421,DressBerry,Women,Dresses,Apparel,Dress,Dresses,4199,1511,2688,1,(64% OFF),454,1057,0,0,0,232,True,"S,M,L,XL,XXL",True,2026-01-10,Winter,False,Myntra_Unique,True,2025,,
